date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:34:43	2769/2769	---M-Z	200	added ('OK')	text/xml	etag:%22121550-1731697482;gz%22	https://blackpoisontattoos.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fblackpoisontattoos.com%2Fportfolio%2Fcustom-sun-tattoo%2F&format=xml	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/wp-json/oembed/1.0/embedec21	(from https://blackpoisontattoos.com/portfolio/custom-sun-tattoo/)
00:34:43	0/-1	---M--	301	error ('')			https://blackpoisontattoos.com/tattoo-categories	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/tattoo-categories.108f.delayed	(from https://blackpoisontattoos.com/portfolio/custom-sun-tattoo/)
00:34:43	0/-1	---M--	301	error ('')			https://blackpoisontattoos.com/about-us	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/about-us.1090.delayed	(from https://blackpoisontattoos.com/portfolio/custom-sun-tattoo/)
00:34:43	0/-1	---M--	301	error ('')			https://blackpoisontattoos.com/tattoo-categories	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/tattoo-categories.1091.delayed	(from https://blackpoisontattoos.com/portfolio/custom-sun-tattoo/)
00:34:43	0/-1	---M--	301	error ('')			https://blackpoisontattoos.com/disclaimer	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/disclaimer.1092.delayed	(from https://blackpoisontattoos.com/portfolio/custom-sun-tattoo/)
00:34:43	0/-1	---M--	301	error ('')			https://blackpoisontattoos.com/about-us	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/about-us.1093.delayed	(from https://blackpoisontattoos.com/portfolio_category/lettering-tattoos/page/2/)
00:34:43	0/-1	---M--	301	error ('')			https://blackpoisontattoos.com/about-us	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/about-us.1094.delayed	(from https://blackpoisontattoos.com/portfolio_category/lettering-tattoos/page/2/)
00:34:44	0/-1	---M--	301	error ('')			https://blackpoisontattoos.com/tattoo-categories	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/tattoo-categories.1095.delayed	(from https://blackpoisontattoos.com/portfolio_category/lettering-tattoos/page/2/)
00:34:44	0/-1	---M--	301	error ('')			https://blackpoisontattoos.com/about-us	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/about-us.1096.delayed	(from https://blackpoisontattoos.com/portfolio_category/lettering-tattoos/page/2/)
00:34:44	0/-1	---M--	301	error ('')			https://blackpoisontattoos.com/tattoo-categories	C:/My%20Web%20Sites/tatto/blackpoisontattoos.com/tattoo-categories.1097.delayed	(from https://blackpoisontattoos.com/portfolio_category/lettering-tattoos/page/2/)
